Recipe name,Ingredients,Image link,Preparing Time,Cooking Time,Difficulty,Persons,Recipe steps
Селедка под шубой,"[{'Сельдь': '(слабосоленая) 400 гр.;'}, {'Свёкла': '(очищенная, приготовленная, примерно небольшие 4 шт.) 400гр.;'}, {'Морковь': '(2 крупные) 250 гр.;'}, {'Картофель': '(1 крупный) 150 гр.;'}, {'Яйцо': '3 шт.;'}, {'Лук': '(небольшой) 1 шт.;'}, {'Майонез': '350 гр.'}]",https://cooklikemary.ru/sites/default/files/74a707ec-c9c8-4bf8-ad3f-4aecc3c31e9a.jpeg,до 120 мин.,до 60 мин.,1,8,"['Отварите неочищенную свеклу в течение 1,5 часов.\xa0\r\nОтварите неочищенную морковь и картофель в течение примерно 20 минут.\r\nОтварите яйца в течение 10 минут.', 'Нарежьте лук мелким кубиком и слегка обжарьте его на среднем огне на масле от селедки.\xa0\r\nОтложите немного масла в отдельную миску, остальное выбросите.\r\nУберите косточки из селедки, нарежьте ее на мелкие кубики.', 'Натрите картофель, морковь, яйца, свеклу на крупной терке.', 'Выберите подходящую посуду. Если у вас есть разъемная форма (20 – 23 см.), то можно использовать ее. Если нет, то берите удобную вам чашу с высокими стенками.\r\nПеред смазыванием каждого слоя салата макните кисточку в масло от селедки, так вы сможете равномерно разнести майонез ТОНКИМ слоем.\r\nВыкладывайте слои в следующем порядке: картофель, слой майонеза, селедку и обжаренный лук, слой майонеза, морковь, слой майонеза, яйца, слой майонеза, свекла, слой майонеза.\r\nНа последний слой свеклы возьмите чуть больше майонеза, чем на другие.\r\nЗакройте пищевой пленкой и дайте постоять салату пару часов в холодильнике.']"
Запеченная утка с айвой,"[{'Утка': '(потрошёная) 1 шт.;'}, {'Айва': '2 шт.;'}, {'Title': 'Для маринада'}, {'Кориандр': '1 ст.л.;'}, {'Белый перец': '1/2 ст.л.;'}, {'Перец Чили': '1/4 ст.л.;'}, {'Можжевельник': '1 ст.л.;'}, {'Сухой чеснок': '1 ст.л.;'}, {'Соевый соус': '2-3 ст.л.;'}, {'Title': 'Соус'}, {'Фасоль в cобсвенном соусе': '100 гр.;'}, {'Чеснок': '1 долька;'}, {'Соевый соус': '60 мл.;'}, {'Мирин': '20 гр.;'}, {'Кунжутное масло': '20 гр.;'}, {'Сахар тростниковый': '15 гр.;'}, {'Перец Чили очищенный': '1 гр., (или по вкусу).'}]",https://cooklikemary.ru/sites/default/files/440713c8-3be2-4e32-92e6-05b0aefbb64f.jpeg,до 720 мин.,до 10800 мин.,2,5,"['Помойте утку, удалите жир в районе гузки и хвоста. Положите утку в дуршлаг и обдайте кипятком со всех сторон. Обсушите утку бумажным полотенцем и положите в подходящую для нее форму.', 'Измельчите специи для маринада в ступке или воспользуйтесь кофемолкой. Соедините все сухие специи в одной миске и добавьте туда соевый соус. Хорошо перемешайте и как следует обмажьте всю утку. Заверните утку в пищевую пленку и уберите в холодное место минимум на 12 часов (идеально от 24 до 48 часов). За час до приготовления достаньте утку, храните при комнатной температуре до приготовления.', 'Нарежьте одну айву и начините утку. По возможности зашейте кулинарными нитками. Используйте противень и решетку. Положите утку на решетку грудкой вверх, а вниз формы или противня налейте стакан холодной воды. Закройте фольгой и готовьте 80 минут в разогретой до 180 градусов духовке.', 'Нарежьте вторую айву на красивые полукольца. Возьмите подходящую по размеру форму, смажьте маслом. Выложите айву на форму. Теперь достаньте утку из духовки, уберите противень. Положите в подготовленную форму с айвой. Верните в духовку на решетку и готовьте еще 40 минут, по 20 минут с каждой стороны. Крылья в процессе надо обернуть фольгой.', 'Соус хойсин. На кунжутном масле слегка обжарьте измельченный чеснок и чили. Добавьте остальные ингредиенты: фасоль, соевый соус, мирин и сахар. Доведите до кипения, проварите несколько минут. Пробейте блендером, а потом процедите через ситечко. Если при приготовлении утки у вас остался соус, то его можно использовать в других блюдах.', 'Увеличьте температуру до 230 градусов. Хорошенько намажьте утку соусом хойсин со всех сторон и держите в духовке еще примерно 20 минут. В процессе можно немного добавить соус. Утка должна лежать грудкой вверх. Кожа должна стать золотисто-коричневой. Обязательно следите, чтобы не подгорела! Перед подачей идеально закрыть утку фольгой и дать ей отдохнуть хотя бы 5 минут. А затем подавайте блюдо в центр стола обязательно вместе с айвой.']"
Цитрусовый салат с креветками и авокадо,"[{'Грейпфрут': '1 шт.;'}, {'Апельсин': '1 шт.;'}, {'Микс салат': '200-250 гр.;'}, {'Авокадо': '(крупное, лучше Хаас) 1 шт.;'}, {'Креветки': '(лучше тигровые) 300 гр. в очищенном виде;'}, {'Кунжутное семя': '5 гр.;'}, {'Растительное масло': 'для обжарки (1 ст.л.);'}, {'Title': 'Соус'}, {'Соус рыбный': '(по вкусу) 40-50мл.;'}, {'Сахар тростниковый': '(по вкусу) 10-15 гр.;'}, {'Апельсиновый фреш': '(по вкусу) 40-50 мл.;'}, {'Кунжутное масло': '50 мл.'}]",https://cooklikemary.ru/sites/default/files/4dd01947-e252-4d93-a327-d3badb0b4f6b.jpeg,до 15 мин.,до 15 мин.,1,5,"['Помойте листья салата и просушите их с помощью бумажного полотенца. Предлагаю использовать микс салат, например из рукколы, шпината, мангольда, корна, фризе или другие виды салатов (минимум 3 разных). Очистите апельсин и грейпфрут, разделите на очищенные сегменты (без пленки). Очистите и разрежьте авокадо на слайсы. Примерно такого же размера, как цитрусовые.', 'Очистите креветки, разрежьте их вдоль хребта, удалите черный пищевод. Быстро обжарьте их с 2-х сторон на большом огне с добавлением растительного масла. Откиньте на бумажное полотенце, чтобы убрать лишнее масло.', 'Смешайте ингредиенты для соуса, подогрейте до растворения сахара.', 'Смешайте микс салат с половиной соуса. Возьмите большое блюдо, уложите в него горкой зелень и по бокам выкладывайте авокадо, цитрусовые и креветки. Сбрызните оставшимся соусом. Посыпьте обжаренным кунжутным семенем. Подавайте на стол.']"
Салат «Мимоза»,"[{'Форель': '(филе) 450гр.;'}, {'Морковь': '(примерно 4 шт.) 450гр.;'}, {'Майонез': '300 гр.;'}, {'Яйцо': '5 шт.;'}, {'Сыр': '(Гауда) 150гр.'}, {'Икра для подачи': ''}]",https://cooklikemary.ru/sites/default/files/cfc4e7e0-11d7-4dab-ad4d-1bea7b74b1c0.jpeg,до 40 мин.,до 20 мин.,1,8,"['Помойте и высушите филе рыбы. Приготовьте его на пару.\r\n\r\nЯ использую старинный метод - наливаю воды на ⅓ кастрюли, застилаю дуршлаг фольгой, кладу филе и закрываю крышкой. Воду довожу до кипения, уменьшаю огонь и готовлю минут 20-30 под крышкой.\r\n\r\nКогда рыба приготовится, очистите ее от кожуры и разомните вилкой.', 'Сварите яйца в течение 10 минут. Отварите неочищенную морковь в течение примерно 20 минут.', 'Натрите сыр на крупной терке. Отделите желток от белка. Почистите морковь и натрите на крупной терке. Натрите белок на крупной терке.', 'Выберите подходящую посуду. Если у вас есть разъемная форма (20-23 см.), то можно использовать ее. Если нет, то берите удобную вам чашу с высокими стенками.\r\nВыкладывайте слои в следующем порядке: натертый белок, слой майонеза, рыбу, слой майонеза, натертую морковь, слой майонеза, натертый сыр, слой майонеза. \r\nСверху натрите желток на мелкой терке.\r\n\r\nДайте салату постоять пару часов в холодильнике и подавайте как ваше коронное блюдо!']"
"Салат ""Обжорка"" (новая версия)","[{'Говядина': '500 гр. (мякоть)'}, {'Шампиньоны': '250 гр.'}, {'Морковь': '250 гр.'}, {'Соленый огурец': '3-4 шт.'}, {'Майонез': 'по вкусу'}, {'Оливковое масло, соль.': ''}]",https://cooklikemary.ru/sites/default/files/4c9ddfd9-1e5c-4f25-a432-0ab477090483.jpeg,0,до 20 мин.,1,2,"['Мясо отварить и нарезать маленькими кубиками.', 'Морковь натереть на крупной тёрке.', 'Шампиньоны мелко нарезать кубиками.', 'Разогреть оливковое масло в сковороде и обжарить сначала морковь, а затем шампиньоны. Отдельно!', 'Соленые огурцы нарезать маленькими кубиками.', 'Соединить в салатнике все ингредиенты, добавить по вкусу майонез и посолить.']"
Форель в апельсинах,"[{'Форель': '(филе) 500 гр.;'}, {'Апельсин': '1-2 шт.;'}, {'Соевый соус': '1 ст.л.;'}, {'Тимьян': 'несколько веточек;'}, {'Оливковое масло': 'для смазывания формы;'}, {'Соль': 'по вкусу;'}, {'Черный перец': 'по вкусу.'}]",https://cooklikemary.ru/sites/default/files/13a926f4-8456-4c56-80bc-be7ddf01e11f.jpeg,до 10 мин.,до 20 мин.,1,4,"['Тонко нарежьте апельсин кольцами. Помойте рыбу и высушите бумажным полотенцем.', 'Сложите фольгу в форме прямоугольника в два слоя и оставьте ещё немного, чтобы закрыть рыбу.\r\nПоложите на фольгу кольца апельсина. Сверху положите рыбу. Посыпьте солью и перцем, полейте соевым соусом.Закройте кольцами апельсина и положите веточки тимьяна.\r\nПлотно заверните.', 'Запекайте 20 минут при 200 градусах, затем откройте верхний слой фольги и готовьте 7-10 минут. В конце можно выбрать программу гриль!\r\n\r\nПеред подачей достаньте рыбу из фольги, уберите апельсин с тимьяном.']"
Жюльен из трёх видов грибов,"[{'Вёшенки': '150 гр.;'}, {'Шампиньоны': '150 гр.;'}, {'Белые сушеные грибы': 'от 10 гр., (сколько не жалко);'}, {'Сливки 20 %': '375 мл.;'}, {'Масло сливочное': '35 гр.;'}, {'Растительное масло': '15 мл.;'}, {'Лук репчатый': '(большой) 1 шт., 200 гр.;'}, {'Сыр': '(твёрдый) 10 гр.;'}, {'Белое вино': '30 мл.;'}, {'Тимьян': '(несколько веточек) 2 гр.;'}, {'Шалфей': '(несколько веточек) 2 гр.;'}, {'Соль': 'по вкусу;'}, {'Черный перец': '(свежемолотый) по вкусу.'}]",https://cooklikemary.ru/sites/default/files/673d7873-9d9b-4c4b-9d4f-0780e6040193.jpeg,до 30 мин.,до 15 мин.,1,6,"['Нарежьте лук на мелкие кубики. Разрежьте грибы пополам, а затем нарежьте на тонкие слайсы.\r\nСушеные грибы измельчите, советую использовать кофемолку. Сыр натрите на крупной терке.', 'Разогрейте смесь сливочного и растительного масла, обжарьте лук до золотистого цвета. Добавьте грибы и жарьте вместе с луком на умеренном огне. Увеличьте температуру, плесните вино и слегка выпарите его.', 'Добавьте зелень (предварительно свяжите её по возможности, чтобы было удобно вытаскивать), влейте сливки комнатной температуры. Тушите на маленьком огне минут 10. Выключите и добавьте 70 гр. твердого сыра, перемешайте. Добавьте соль, черный перец по вкусу.\r\nРазложите жюльен по формочкам, сверху посыпьте оставшимся сыром. Запеките в заранее разогретой до 180 гр. духовке в течение 10 минут до румяной корочки.']"
"Рагу из говядины с овощами, для скорейшего замужества","[{'Говядина': '800 гр.;'}, {'Мука': '1 ст.л.;'}, {'Лук репчатый': '(средний) 1-2 шт.;'}, {'Морковь': '(средняя) 2 шт.;'}, {'Стебель сельдерея': '2-4 шт.;'}, {'Чеснок': '3-5 долек;'}, {'Тимьян': 'небольшой пучок;'}, {'Помидоры черри': '6-8 шт.;'}, {'Красное сухое вино': '150 мл.;'}, {'Говяжий бульон': '500 мл.;'}, {'Оливковое масло': 'для жарки;'}, {'Лавровый лист': '3-5 шт.;'}, {'Черный перец': 'по вкусу;'}, {'Соль': 'по вкусу;'}, {'Ворчестерский соус': '(если есть) 2 ст.л.;'}, {'Петрушка': 'небольшой пучок;'}, {'Title': 'Для бульона'}, {'Голяшка говяжья или мясо на кости': '500 гр., примерно.'}, {'Лук': '1 шт.;'}, {'Морковь': '1 шт.;'}, {'Стебель сельдерея': '1 шт.;'}, {'Лавровый лист': '3 шт.;'}, {'Черный перец горошком': '5 шт.'}]",https://cooklikemary.ru/sites/default/files/08e0c8fa-ae47-4710-b82c-d2b4e43d99bf.jpeg,до 30 мин.,до 180 мин.,1,5,"['Сварите насыщенный говяжий бульон с добавлением лука, моркови, стебля сельдерея, лаврового листа и черного перца.', 'Помойте и высушите мясо с помощью бумажного полотенца. Нарежьте мясо кубиками примерно 3 см. Сложите в миску и обваляйте в муке.', 'Нарежьте морковь толщиной примерно 3 см. И стебель сельдерея достаточно крупно 3 - 4 см. длиной. Лук порежьте полукольцами, чеснок слайсами.', 'В большой сковороде, с добавлением оливкового масла, обжарьте мясо на большом огне со всех сторон. Лучше сделать это порционно, чтобы мясо жарилось, а не тушилось.\r\nОтложите мясо в сторону ненадолго.', 'В той же сковороде обжарьте лук, морковь, сельдерей и чеснок до румяного цвета. Добавьте измельченные листочки тимьяна. Перемешайте.', 'Сложите в жаропрочную посуду мясо, овощи, влейте вино и говяжий бульон. Добавьте лавровый лист, помидоры черри и ворчестерский соус. Доведите на плите до кипения. Закройте крышкой и поставьте в заранее разогретую духовку при 160 гр., на 2 часа. Достаньте, добавьте соль и перец, попробуйте на вкус и поставьте в духовку еще на 1 час. Потом выключите и дайте блюду слегка остыть прямо в духовке.\r\nСоветую приготовить к этому блюду картофельное пюре. При подаче посыпьте блюдо измельченной петрушкой.']"
"Паста с фаршем, беконом и овощами","[{'Фарш (говядина-свинина)': '500 гр.;'}, {'Паста': '(пене, тортильони, фузилли) 250 гр.'}, {'Морковь': '(крупная) 1 шт.;'}, {'Помидор': '(сладкий или черри 5 шт. ) 1 шт.;'}, {'Лук': '1 шт.'}, {'Красное сухое вино': 'примерно 50 мл.'}, {'Бекон': '(сырокопченый)70-100 гр.'}, {'Оливковое масло': 'немного для жарки'}, {'Базилик': 'небольшой пучок'}, {'Твердый сыр': 'тертый, немного для подачи'}]",https://cooklikemary.ru/sites/default/files/img_9358-4_0.jpg,до 20 мин.,до 20 мин.,1,4,"['Нарежьте маленьким кубиком морковь, лук и помидор. Так-же кубиком нарежьте бекон.', 'Разогрейте сковороду, добавьте немного оливкового масла и слегка обжарьте лук. Добавьте бекон и жарьте вместе. Увеличьте огонь и влейте вино, выпарите.\r\nТеперь добавьте еще немного масла, обжарьте морковь и помидор. Положите к овощам мясо и обжарьте на большом огне.', 'Во время жарки овощей и мяса отварите пасту в подсоленной воде до состояния альденте (мин.7-8)', 'Добавьте пасту к овощам, влейте немного воды от пасты и потушите вместе с мясом и овощами в течение нескольких минут (постоянно помешивая). Добавьте соль и перец по вкусу.\r\nБазилик измельчите, и добавьте в почти готовое блюдо.', 'Перед подачей посыпьте блюдо тертым сыром и украсьте веточками базилика.']"
Куриная грудка с грибами в сливочном соусе,"[{'Куриная грудка': '2 шт.;'}, {'Шампиньоны': '150-200 гр.;'}, {'Белые сушеные грибы': '10 гр.;'}, {'Лук шалот': '(Или небольшой репчатый) 1 шт.;'}, {'Сливки 20 %': '(Комнатной температуры) 200-300 мл.;'}, {'Тимьян': 'Несколько веточек'}, {'Оливковое масло': 'Для жарки'}, {'Белое сухое вино': '50 мл.'}, {'Петрушка -небольшой пучок': ''}]",https://cooklikemary.ru/sites/default/files/50a2eeed-370b-4d72-be7c-9e172cba13b5.jpeg,до 25 мин.,до 15 мин.,1,2,"['Помойте и высушите куриную грудку. Заверните в пищевую пленку и слегка отбейте. Обжарьте на оливковом масле с двух сторон до красивого румяного цвета.\r\nПодготовьте фольгу для двух грудок. Посолите, поперчите и запекайте в духовке при 180 градусах около 15 - 20 минут.', 'Нарежьте шампиньоны на слайсы, а лук мелким кубиком. Белые грибы измельчите в муку.', 'Обжарьте лук на среднем огне. Добавьте шампиньоны и увеличьте огонь, слегка обжарьте. Теперь влейте вино и не уменьшая огонь выпарите.', 'Положите запечённые грудки в сковороду. Уменьшите огонь и влейте сливки. Добавьте измельчённые белые грибы и тимьян веточками. Готовьте минут 5-7, до загустения соуса. Вытащите тимьян и выбросите.\r\nДобавьте соль и перец по вкусу.\r\n\r\nПеред подачей посыпьте блюдо измельчённой петрушкой.']"
