Recipe name,Recipe Link,Image
Селедка под шубой,https://cooklikemary.ru//recipe/salat/seledka-pod-shuboy,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/74a707ec-c9c8-4bf8-ad3f-4aecc3c31e9a.jpeg?itok=PsNgcUih
Запеченная утка с айвой,https://cooklikemary.ru//recipe/picca/zapechennaya-utka-s-ayvoy,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/440713c8-3be2-4e32-92e6-05b0aefbb64f.jpeg?itok=tYelqRzn
Цитрусовый салат с креветками и авокадо,https://cooklikemary.ru//recipe/salat/citrusovyy-salat-s-krevetkami-i-avokado,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/4dd01947-e252-4d93-a327-d3badb0b4f6b.jpeg?itok=VE7nZduR
Салат «Мимоза»,https://cooklikemary.ru//recipe/salat/salat-mimoza,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/cfc4e7e0-11d7-4dab-ad4d-1bea7b74b1c0.jpeg?itok=JKLIgLrA
"Салат ""Обжорка"" (новая версия)",https://cooklikemary.ru//recipe/salat/salat-obzhorka-novaya-versiya,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/4c9ddfd9-1e5c-4f25-a432-0ab477090483.jpeg?itok=-7D8UlMx
Форель в апельсинах,https://cooklikemary.ru//recipe/ryba/forel-v-apelsinah,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/13a926f4-8456-4c56-80bc-be7ddf01e11f.jpeg?itok=CrZP-Ovo
Имбирное печенье,https://cooklikemary.ru//recipe/desert-i-vypechka/imbirnoe-pechene,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/d0f176f3-f77f-4fe6-901a-36ef62f30c6e.jpeg?itok=fbzKemhE
Жюльен из трёх видов грибов,https://cooklikemary.ru//recipe/zakuska/zhyulen-iz-tryoh-vidov-gribov,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/673d7873-9d9b-4c4b-9d4f-0780e6040193.jpeg?itok=dZ9QWKA1
Творожный штоллен,https://cooklikemary.ru//recipe/desert-i-vypechka/keks-maffiny-kulich/tvorozhnyy-shtollen,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_3309-3.jpg?itok=MFNxefLA
"Рагу из говядины с овощами, для скорейшего замужества",https://cooklikemary.ru//recipe/myaso/ragu-iz-govyadiny-s-ovoshchami-dlya-skoreyshego-zamuzhestva,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/08e0c8fa-ae47-4710-b82c-d2b4e43d99bf.jpeg?itok=8YEDwd7D
Печенье из арахисовой пасты,https://cooklikemary.ru//recipe/desert-i-vypechka/pechene-iz-arahisovoy-pasty,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_9458.jpg?itok=ksr8e6mF
Печенье «Отпечаток пальца» с джемом,https://cooklikemary.ru//recipe/desert-i-vypechka/pechene-otpechatok-palca-s-dzhemom,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_9408.jpg?itok=-7Ko0EIE
"Паста с фаршем, беконом и овощами",https://cooklikemary.ru//recipe/pastakrupa/pasta-s-farshem-bekonom-i-ovoshchami,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_9358-4_0.jpg?itok=NBwlitdk
Куриная грудка с грибами в сливочном соусе,https://cooklikemary.ru//recipe/ptica/kurica/kurinaya-grudka-s-gribami-v-slivochnom-souse,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/50a2eeed-370b-4d72-be7c-9e172cba13b5.jpeg?itok=Mj2b6AXw
Рыба по-итальянски с оливками и помидорами,https://cooklikemary.ru//recipe/ryba/ryba-po-italyanski-s-olivkami-i-pomidorami,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/60c1631f-445b-4152-afee-993cc686da27.jpeg?itok=Yp2YbdjJ
Сладкие гренки,https://cooklikemary.ru//recipe/hleb/sladkie-grenki,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/4791c13d-ef88-4566-968d-2ef0a30752ab.jpeg?itok=DSKc2woH
Оссобуко,https://cooklikemary.ru//recipe/myaso/govyadina/ossobuko,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_4538-2.jpg?itok=DiN0Wpo8
Кокосовые блинчики,https://cooklikemary.ru//recipe/bliny-oladi-syrniki/kokosovye-blinchiki,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/807b220c-c33a-4c0a-8e4a-3bc9ac27b034.jpeg?itok=jmgHm-zV
Судак в сливочном соусе,https://cooklikemary.ru//recipe/ryba/sudak-v-slivochnom-souse,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_9022-2-2.jpg?itok=S7_2M5Uu
Творожно-кокосовый кекс,https://cooklikemary.ru//recipe/tvorog/tvorozhno-kokosovyy-keks,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_1623.jpg?itok=9JYZHKrx
Пирог с брусникой,https://cooklikemary.ru//recipe/pirogi/pirog-s-brusnikoy,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/89c6f141-b69c-429a-9428-314c04b7482d.jpeg?itok=2zulbmBq
Запеченная курица в кленовом сиропе с овощами,https://cooklikemary.ru//recipe/ptica/zapechennaya-kurica-v-klenovom-sirope-s-ovoshchami,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/ac209ed4-51c3-4455-b094-cd74137378aa.jpeg?itok=TjoQZULH
Творожный кекс с изюмом,https://cooklikemary.ru//recipe/tvorog/tvorozhnyy-keks-s-izyumom,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/4e30cf11-a563-4024-af0d-f94771259e6e.jpeg?itok=RmtL6vo7
Пирог с яблоками и творожным кремом,https://cooklikemary.ru//recipe/pirogi/pirog-s-yablokami-i-tvorozhnym-kremom,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/d934777f-ad11-4b63-ba9e-0e7093f950ed.jpeg?itok=q2_aMwUL
Пармеджано,https://cooklikemary.ru//recipe/zakuska/parmedzhano,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/81eeda9a-cba6-442b-89c9-61cf44e18cf0.jpeg?itok=-tLupQn6
Каннеллони с фаршем,https://cooklikemary.ru//recipe/myaso/kannelloni-s-farshem-0,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/ea04eaee-5cae-48db-8c54-af1d318f5462.jpeg?itok=iDBci_nZ
Маринованный инжир с бурратой и карамелью,https://cooklikemary.ru//recipe/zakuska/marinovannyy-inzhir-s-burratoy-i-karamelyu,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/f280624e-4328-42f2-a14b-b89c1be48a5e.jpeg?itok=S5fzj28E
Салат с морепродуктами и сочной зеленью,https://cooklikemary.ru//recipe/salat/salat-s-moreproduktami-i-sochnoy-zelenyu,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/390a0aaf-eb57-443d-ad92-4a5eea08abe4.jpeg?itok=Kx28YrtW
Клюквенный чизкейк,https://cooklikemary.ru//recipe/pirogi/sladkiy-pirog/klyukvennyy-chizkeyk,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/bez_imeni_1_iz_1-172.jpg?itok=g9VBK_f_
Крем-суп из шампиньонов,https://cooklikemary.ru//recipe/sup/krem-sup-iz-shampinonov,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/d5611944-ab37-4e07-bcd1-392cfda98043.jpeg?itok=lEvY2dhm
Облепиховый чай с грушей и корицей,https://cooklikemary.ru//recipe/napitki/oblepihovyy-chay-s-grushey-i-koricey,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/da8bac01-f3e9-4d4f-90a0-2172eca960f5.jpeg?itok=3u0UZRq1
Халлуми с брусничным соусом,https://cooklikemary.ru//recipe/zakuska/hallumi-s-brusnichnym-sousom,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/a6f0131f-3a1a-4db6-962b-640685429a8a.jpeg?itok=k5qBnEYS
Фаршированные перцы с грибами и булгуром,https://cooklikemary.ru//recipe/ovoshchi/farshirovannye-percy-s-gribami-i-bulgurom,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/b4af478e-d790-4544-92a7-95473a058099.jpeg?itok=If757zf_
Миндальный пирог с нектаринами (или персиками),https://cooklikemary.ru//recipe/pirogi/mindalnyy-pirog-s-nektarinami-ili-persikami,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/09ee9052-6aa7-431b-90af-46b28303fcc5.jpeg?itok=Yy7hRc7v
Паста с креветками и цукини,https://cooklikemary.ru//recipe/pastakrupa/pasta-s-krevetkami-i-cukini,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/73f4b91e-b897-42c3-aae7-eef502ff2d3c.jpeg?itok=ARUtPYx4
Митболы из кролика в томатно-сливочном соусе,https://cooklikemary.ru//recipe/myaso/krolik/mitboly-iz-krolika-v-tomatno-slivochnom-souse,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/759083b2-b384-4996-bba8-19e505590264.jpeg?itok=hk9-pWTm
Пирог с лососем и творожным сыром,https://cooklikemary.ru//recipe/pirogi/pirog-s-lososem-i-tvorozhnym-syrom,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_4451-2.jpg?itok=j6qGh6i0
Меренговый рулет с лепестками миндаля и клубникой,https://cooklikemary.ru//recipe/desert-i-vypechka/merengovyy-rulet-s-lepestkami-mindalya-i-klubnikoy,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_8501-2_1.jpg?itok=BtnHU2t_
