Name,Weight,TypeOfIngredient,Index
Сельдь,400.0,гр.,0
Свёкла,400.0,гр.,0
Морковь,250.0,гр.,0
Картофель,150.0,гр.,0
Яйцо,3.0,шт.,0
Лук,1.0,шт.,0
Майонез,350.0,гр.,0
Утка,1.0,шт.,1
Айва,2.0,шт.,1
Для маринада,0.0,заголовок,1
Кориандр,1.0,ст.л.,1
Белый перец,0.5,ст.л.,1
Перец Чили,0.25,ст.л.,1
Можжевельник,1.0,ст.л.,1
Сухой чеснок,1.0,ст.л.,1
Соевый соус,2.0,ст.л.,1
Соус,0.0,заголовок,1
Фасоль в cобсвенном соусе,100.0,гр.,1
Чеснок,1.0,шт.,1
Соевый соус,60.0,мл.,1
Мирин,20.0,гр.,1
Кунжутное масло,20.0,гр.,1
Сахар тростниковый,15.0,гр.,1
Перец Чили очищенный,1.0,гр.,1
Грейпфрут,1.0,шт.,2
Апельсин,1.0,шт.,2
Микс салат,200.0,гр.,2
Авокадо,1.0,шт.,2
Креветки,300.0,гр.,2
Кунжутное семя,5.0,гр.,2
Растительное масло,1.0,ст.л.,2
Соус,0.0,заголовок,2
Соус рыбный,40.0,мл.,2
Сахар тростниковый,10.0,гр.,2
Апельсиновый фреш,40.0,мл.,2
Кунжутное масло,50.0,мл.,2
Форель,450.0,гр.,3
Морковь,450.0,гр.,3
Майонез,300.0,гр.,3
Яйцо,5.0,шт.,3
Сыр,150.0,гр.,3
Икра для подачи,0.0,по вкусу,3
Говядина,500.0,гр.,4
Шампиньоны,250.0,гр.,4
Морковь,250.0,гр.,4
Соленый огурец,3.0,шт.,4
Майонез,0.0,по вкусу,4
"Оливковое масло, соль.",0.0,по вкусу,4
Форель,500.0,гр.,5
Апельсин,1.0,шт.,5
Соевый соус,1.0,ст.л.,5
Тимьян,0.0,по вкусу,5
Оливковое масло,0.0,по вкусу,5
Соль,0.0,по вкусу,5
Черный перец,0.0,по вкусу,5
Вёшенки,150.0,гр.,6
Шампиньоны,150.0,гр.,6
Белые сушеные грибы,10.0,гр.,6
Сливки 20 %,375.0,мл.,6
Масло сливочное,35.0,гр.,6
Растительное масло,15.0,мл.,6
Лук репчатый,200.0,гр.,6
Сыр,10.0,гр.,6
Белое вино,30.0,мл.,6
Тимьян,2.0,гр.,6
Шалфей,2.0,гр.,6
Соль,0.0,по вкусу,6
Черный перец,0.0,по вкусу,6
Говядина,800.0,гр.,7
Мука,1.0,ст.л.,7
Лук репчатый,1.0,шт.,7
Морковь,2.0,шт.,7
Стебель сельдерея,2.0,шт.,7
Чеснок,0.0,по вкусу,7
Тимьян,0.0,по вкусу,7
Помидоры черри,6.0,шт.,7
Красное сухое вино,150.0,мл.,7
Говяжий бульон,500.0,мл.,7
Оливковое масло,0.0,по вкусу,7
Лавровый лист,3.0,шт.,7
Черный перец,0.0,по вкусу,7
Соль,0.0,по вкусу,7
Ворчестерский соус,2.0,ст.л.,7
Петрушка,0.0,по вкусу,7
Для бульона,0.0,заголовок,7
Голяшка говяжья или мясо на кости,500.0,гр.,7
Лук,1.0,шт.,7
Морковь,1.0,шт.,7
Стебель сельдерея,1.0,шт.,7
Лавровый лист,3.0,шт.,7
Черный перец горошком,5.0,шт.,7
Фарш (говядина-свинина),500.0,гр.,8
Паста,250.0,гр.,8
Морковь,1.0,шт.,8
Помидор,1.0,шт.,8
Лук,1.0,шт.,8
Красное сухое вино,50.0,мл.,8
Бекон,70.0,гр.,8
Оливковое масло,0.0,по вкусу,8
Базилик,0.0,по вкусу,8
Твердый сыр,0.0,по вкусу,8
Куриная грудка,2.0,шт.,9
Шампиньоны,150.0,гр.,9
Белые сушеные грибы,10.0,гр.,9
Лук шалот,1.0,шт.,9
Сливки 20 %,200.0,мл.,9
Тимьян,0.0,по вкусу,9
Оливковое масло,0.0,по вкусу,9
Белое сухое вино,50.0,мл.,9
Петрушка -небольшой пучок,0.0,по вкусу,9
Сибас (или Дорадо),0.0,по вкусу,10
Оливки,150.0,гр.,10
Лук шалот,1.0,шт.,10
Помидоры,1.0,шт.,10
Базилик,0.0,по вкусу,10
Рыбный бульон,150.0,мл.,10
Белое вино,50.0,мл.,10
Сливочное масло,10.0,гр.,10
Оливковое масло,10.0,мл.,10
Приправа,0.0,по вкусу,10
Соль,0.0,по вкусу,10
Перец,0.0,по вкусу,10
Дополнительно,0.0,заголовок,10
Хлеб,0.0,по вкусу,10
Телячья голяшка на кости,600.0,гр.,11
Бульон,250.0,мл.,11
Белое сухое вино,100.0,мл.,11
Стебель сельдерея,1.0,шт.,11
Лук репчатый,1.0,шт.,11
Морковь,1.0,шт.,11
Помидоры черри,6.0,шт.,11
Оливковое масло,0.0,по вкусу,11
Сливочное масло,0.0,по вкусу,11
Тимьян,0.0,по вкусу,11
Розмарин,0.0,по вкусу,11
Петрушка,0.0,по вкусу,11
Дополнительно,0.0,заголовок,11
Цедра лимона,0.0,по вкусу,11
